City_ID,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
80,Acaraú,BR,1733443046,-2.8856,-40.12,99,76,80.24,14.29
81,West Fargo,US,1733443046,46.875,-96.9004,100,76,12.02,12.66
82,Garden City,US,1733443046,42.3256,-83.331,75,65,28.85,13.8
83,Santiago de Cao,PE,1733443047,-7.9589,-79.2392,82,88,64.53,8.05
84,Asău,RO,1733443047,46.4333,26.4,97,85,30.7,3.31
85,Los Baños,PH,1733443047,14.1667,121.1833,99,80,80.67,7.65
86,Serhetabat,TM,1733443047,35.2799,62.3438,0,66,38.57,2.89
87,Al Ghayzah,YE,1733443047,16.2079,52.176,19,39,69.82,4.45
88,Broken Hill,AU,1733443047,-31.95,141.4333,44,28,97.39,19.06
89,Cockburn Town,TC,1733443048,21.4612,-71.1419,95,81,78.55,21.36
90,Aykhal,RU,1733443048,66.0,111.5,100,94,6.55,17.27
91,Iquique,CL,1733442882,-20.2208,-70.1431,87,81,66.04,4.27
92,Tura,IN,1733443048,25.5198,90.2201,0,77,57.31,3.0
93,Kinablangan,PH,1733443048,7.6947,126.5503,88,79,80.37,3.11
94,Constitución,CL,1733443048,-35.3333,-72.4167,0,92,54.81,3.65
95,Wailua Homesteads,US,1733443049,22.0669,-159.378,100,95,70.86,16.11
96,Papatowai,NZ,1733443049,-46.5619,169.4708,89,72,59.92,13.22
97,North Bend,US,1733443049,43.4065,-124.2243,20,58,58.15,6.91
98,Alice Springs,AU,1733443049,-23.7,133.8833,28,43,90.95,8.05
99,College,US,1733443049,64.8569,-147.8028,100,75,20.07,3.44
100,Vorgashor,RU,1733443049,67.5833,63.95,100,94,24.48,23.85
101,Isafjordur,IS,1733443050,66.0755,-23.124,100,93,24.96,10.56
102,Rurrenabaque,BO,1733443050,-14.4413,-67.5278,87,90,75.27,1.52
103,Badger,US,1733443050,64.8,-147.5333,100,86,21.45,3.44
104,Twin Falls,US,1733442628,42.3505,-114.6445,0,49,44.94,0.0
105,Wainwright,CA,1733443050,52.839,-110.8572,14,90,28.49,7.7
106,Pisco,PE,1733443050,-13.7,-76.2167,0,77,68.05,21.85
107,Gadzhiyevo,RU,1733443050,69.2551,33.3362,89,85,24.76,18.68
108,Hamilton,US,1733443050,39.1834,-84.5333,0,63,23.09,15.01
109,Stanley,GB,1733443050,54.868,-1.6985,64,78,42.53,19.57
110,Ladário,BR,1733443051,-19.0047,-57.6017,64,72,81.14,3.33
111,Jayapura,ID,1733443051,-2.5333,140.7,97,79,83.59,4.14
112,Ust-Nera,RU,1733443051,64.5667,143.2,90,98,-15.36,2.53
113,Yellowknife,CA,1733443051,62.456,-114.3525,75,85,5.52,16.11
114,Cologne,DE,1733443051,50.9333,6.95,75,92,47.05,11.5
115,Atafu Village,TK,1733443051,-8.5421,-172.5159,7,66,82.94,11.45
116,Badnāwar,IN,1733443051,23.0167,75.2167,98,51,63.9,5.12
117,Hermanus,ZA,1733443051,-34.4187,19.2345,100,78,61.93,11.99
118,Anadyr,RU,1733443052,64.75,177.4833,59,77,-8.9,8.95
119,Mount Isa,AU,1733443052,-20.7333,139.5,20,66,85.77,10.36
120,Andergrove,AU,1733443052,-21.0833,149.1833,99,67,80.51,14.09
121,Al Ḩasakah,SY,1733443052,36.5024,40.7477,39,52,50.9,6.29
122,Nurota,UZ,1733443052,40.5614,65.6886,1,84,32.54,2.35
123,Island Harbour,GB,1733443052,50.724,-1.2758,47,65,49.93,8.99
124,Walvis Bay,NA,1733443053,-22.9575,14.5053,2,88,59.95,3.44
125,Murzuk,LY,1733443053,25.9155,13.9184,0,58,51.98,11.34
126,Punta Arenas,CL,1733443053,-53.15,-70.9167,20,61,46.51,6.91
127,Keetmanshoop,NA,1733443053,-26.5833,18.1333,34,27,67.12,9.22
128,Mount Gambier,AU,1733443053,-37.8333,140.7667,100,99,61.97,2.53
129,Haiku-Pauwela,US,1733443053,20.9219,-156.3051,15,72,80.22,4.0
130,Longyearbyen,SJ,1733443053,78.2186,15.6401,20,63,21.04,19.57
131,Sacaba,MX,1733443053,20.5833,-89.9833,50,59,70.41,3.87
132,Petropavlovsk-Kamchatskiy,RU,1733443054,53.0452,158.6483,20,63,21.79,8.95
133,Bredasdorp,ZA,1733443054,-34.5322,20.0403,94,73,60.75,5.93
134,Tuzha,RU,1733443054,57.6062,47.936,68,98,14.25,2.42
135,Esquel,AR,1733443054,-42.9,-71.3167,100,85,46.13,6.02
136,Tongouson,PH,1733443054,5.0214,120.1328,100,80,82.2,8.34
137,Grand Falls-Windsor,CA,1733443054,48.9332,-55.6649,98,82,29.5,5.99
138,Mata-Utu,WF,1733443054,-13.2816,-176.1745,78,77,82.38,8.28
139,Usinsk,RU,1733443054,65.9939,57.5281,100,87,17.22,17.16
140,Ribeira Grande,PT,1733443055,38.5167,-28.7,95,89,67.77,11.01
141,Nova Sintra,CV,1733443055,14.8667,-24.7167,39,66,79.86,7.81
142,Pamekasan,ID,1733443055,-7.1568,113.4746,100,94,74.8,6.85
143,Newman,US,1733443055,37.3138,-121.0208,88,62,64.04,3.0
144,Klyuchi,RU,1733443055,52.2667,79.1667,36,93,7.7,6.89
145,Silver City,US,1733443055,32.7701,-108.2803,40,57,51.39,8.05
146,Saint Paul Harbor,US,1733442966,57.79,-152.4072,40,100,35.11,9.22
147,Cidade Velha,CV,1733443056,14.9167,-23.6167,20,69,79.27,9.22
148,Iskateley,RU,1733443056,67.6803,53.1512,100,87,26.08,20.6
149,Kharp,RU,1733443056,66.8014,65.8081,81,88,25.45,19.06
150,Opuwo,NA,1733443056,-18.0607,13.84,11,38,65.62,5.48
151,Port Mathurin,MU,1733443056,-19.6833,63.4167,71,80,75.13,21.47
152,Caleta de Carquín,PE,1733443056,-11.0925,-77.6267,48,84,67.98,10.27
153,Necochea,AR,1733443056,-38.5473,-58.7368,100,97,58.19,9.17
154,Ambovombe,MG,1733443056,-25.1667,46.0833,1,70,76.77,3.27
155,Yermakovskoye,RU,1733443057,53.2831,92.4003,61,97,10.06,1.5
156,Gribanovskiy,RU,1733443057,51.4579,41.9764,100,85,24.85,8.75
157,Karratha,AU,1733443057,-20.7377,116.8463,31,37,87.03,4.18
158,Ialibu,PG,1733443057,-6.2821,143.9935,99,84,67.84,2.1
159,East London,ZA,1733443057,-33.0153,27.9116,100,69,68.09,6.2
160,Alofi,NU,1733443057,-19.0595,-169.9187,100,78,80.49,12.66
161,Mizhirah,SA,1733443057,16.8261,42.7333,20,78,80.44,4.61
162,Horsham,GB,1733443057,51.064,-0.3272,40,74,48.31,14.97
163,Colac,AU,1733443058,-38.3333,143.5833,100,38,76.1,6.82
164,Pocora,CR,1733443058,10.1718,-83.6044,15,94,74.05,1.88
165,Altai,MN,1733443058,46.3722,96.2583,8,88,5.76,2.77
